Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_date,home_team,away_team,score,match_url,stat_type,squad_side,Birthdate
Raul Chasco,30,ESP,Left Back,21-035,90,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,,,"Friday October 18, 2024",Alavés,Valladolid,3-Feb,"Getafe, Spain",summary,away,9/13/2003
David Torres,3,ESP,Centre-Back,21-227,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Friday October 18, 2024",Alavés,Valladolid,3-Feb,"Getafe, Spain",summary,away,3/5/2003
Javi Sanchez,5,ESP,Centre-Back,27-218,73,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,"Friday October 18, 2024",Alavés,Valladolid,3-Feb,"Getafe, Spain",summary,away,3/14/1997
Abdulai Juma Bah,35,SLE,Defender,18-190,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,"Friday October 18, 2024",Alavés,Valladolid,3-Feb,"Getafe, Spain",summary,away,4/11/2006
Luis Perez,2,ESP,Right Back,29-257,90,0,0,0,0,0,0,0,0,1,2,0,1,1,2,0,,,"Friday October 18, 2024",Alavés,Valladolid,3-Feb,"Getafe, Spain",summary,away,2/3/1995
Karl Jakob Hein,13,EST,Goalkeeper,22-188,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Friday October 18, 2024",Alavés,Valladolid,3-Feb,"Getafe, Spain",summary,away,4/13/2002
16 Players,,,,,990,3,1,2,2,12,4,2,0,14,13,1,12,5,9,0,,,"Friday October 18, 2024",Alavés,Valladolid,3-Feb,"Getafe, Spain",summary,away,
Gorka Guruzeta,12,ESP,Forward,28-037,90,0,0,0,0,1,0,0,0,3,2,0,1,0,1,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,home,9/11/1996
Nico Williams,10,ESP,Attacking Midfielder,22-099,72,0,1,0,0,2,2,0,0,0,2,0,5,1,1,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,home,7/12/2002
Alvaro djalo,11,GNB,Midfielder,25-064,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,home,8/16/1999
Alex Berenguer,7,ESP,Attacking Midfielder,29-107,77,1,2,0,0,2,1,0,0,1,2,0,2,0,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,home,7/4/1995
Unai Gomez,20,ESP,Midfielder,21-147,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,home,5/25/2003
Inaki Williams,9,GHA,Attacking Midfielder,30-126,72,2,0,0,0,2,2,0,0,1,3,0,5,1,1,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,home,6/15/1994
Nicolas Serrano,22,ESP,Midfielder,21-228,18,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,home,3/5/2003
Mikel Jauregizar,23,ESP,Defensive Midfielder,20-341,90,0,0,0,0,0,0,0,0,5,6,0,2,1,1,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,home,11/13/2003
Inigo Ruiz de Galarreta,16,ESP,Defensive Midfielder,31-074,62,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,home,8/6/1993
Benat Prados,24,ESP,Midfielder,23-254,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,home,2/7/2001
Yuri Berchiche,17,ESP,Left Back,34-252,62,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,home,2/9/1990
Adama Boiro,32,ESP,Defender,22-119,28,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,home,6/22/2002
Unai Nunez,14,ESP,Centre-Back,27-263,90,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,home,1/30/1997
Daniel Vivian,3,ESP,Centre-Back,25-096,90,1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,home,7/15/1999
Oscar de Marcos,18,ESP,Right Back,35-188,90,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,home,4/14/1989
Julen Agirrezabala,13,ESP,Goalkeeper,23-298,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,home,12/24/2000
16 Players,,,,,990,4,4,0,0,10,6,2,0,15,20,0,20,6,6,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,home,
Alejo Veliz,9,ARG,Forward,21-030,45,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,away,9/19/2003
Walid Cheddira,16,MAR,Forward,26-271,45,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,away,1/21/1998
Carlos Romero,22,ESP,Attacking Midfielder,22-356,45,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,away,10/29/2001
Pere Milla,11,ESP,Forward / Midfielder,32-026,45,0,0,0,0,2,1,1,0,1,2,0,4,0,1,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,away,9/22/1992
Alex Kral,20,CZE,Attacking Midfielder,26-153,90,0,0,0,0,0,0,0,0,1,3,0,2,2,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Getafe, Spain",summary,away,5/19/1998
Jofre,17,ESP,Attacking Midfielder,23-124,62,0,0,0,0,2,0,0,0,2,3,0,1,1,2,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Seville, Spain",summary,away,6/17/2001
Irvin Cardona,24,MLT,Forward / Midfielder,27-072,28,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Seville, Spain",summary,away,8/8/1997
Pol Lozano,10,ESP,Defensive Midfielder,25-013,90,0,0,0,0,0,0,0,0,5,1,0,1,1,2,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Seville, Spain",summary,away,10/6/1999
Jose Gragera,15,ESP,Defensive Midfielder,23-324,45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Seville, Spain",summary,away,11/28/2000
Leandro Cabrera,6,URU,Defender,33-124,45,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Seville, Spain",summary,away,6/17/1991
Brian Olivan,14,ESP,Left Back,30-201,90,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Seville, Spain",summary,away,4/1/1994
Marash Kumbulla,4,ALB,Centre-Back,24-254,72,0,0,0,0,0,0,0,0,2,2,0,1,1,1,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Seville, Spain",summary,away,2/7/2000
Alvaro Tejero,12,ESP,Defender,28-091,18,1,0,0,0,1,1,0,0,0,0,0,6,0,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Seville, Spain",summary,away,7/19/1996
Sergi Gomez,3,ESP,Centre-Back,32-205,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Seville, Spain",summary,away,3/27/1992
Omar El Hilali,23,MAR,Right Back,21-037,90,0,0,0,0,0,0,1,0,1,0,0,2,3,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Seville, Spain",summary,away,9/12/2003
Joan Garcia,1,ESP,Goalkeeper,23-168,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Seville, Spain",summary,away,5/4/2001
16 Players,,,,,990,1,0,0,0,5,2,3,0,22,14,1,22,13,10,0,,,"Saturday October 19, 2024",Athletic Club,Espanyol,1-Apr,"Seville, Spain",summary,away,
Bryan Zaragoza,19,ESP,Forward,23-040,87,0,0,0,0,3,1,0,0,1,1,0,6,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,home,9/9/2001
Jose Arnaiz,20,ESP,Forward / Midfielder,29-187,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,home,4/15/1995
Ante Budimir,17,CRO,Forward,33-089,90,0,0,0,0,5,2,0,0,2,0,2,1,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,home,7/22/1991
Ruben Garcia,14,ESP,Forward,31-097,66,0,0,0,0,1,0,0,0,0,1,1,7,1,2,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,home,7/14/1993
Jon Moncayola,7,ESP,Midfielder,26-159,24,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,home,5/13/1998
Aimar Oroz,10,ESP,Central Midfielder,22-327,86,0,0,0,0,4,2,0,0,2,0,0,1,0,4,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,home,11/27/2001
Ruben Pena,15,ESP,Defender / Midfielder,33-093,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,home,7/18/1991
Lucas Torro,6,ESP,Central Midfielder,30-092,87,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,home,7/19/1994
Moi Gomez,16,ESP,Forward / Midfielder,30-118,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,home,6/23/1994
Pablo Ibanez,8,ESP,Central Midfielder,26-029,76,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,home,9/20/1998
Raul,9,ESP,Forward,23-351,14,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,home,11/2/2000
Abel Bretones,23,ESP,Left Back,24-059,90,0,0,0,0,0,0,0,0,0,1,0,4,2,1,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,home,8/20/2000
Enzo Boyomo,22,CMR,Centre-Back,23-012,90,0,0,0,0,1,0,1,0,1,0,0,0,2,2,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,home,10/7/2001
Catena,24,ESP,Centre-Back,29-357,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,home,10/28/1994
Jesus Areso,12,ESP,Right Back,25-109,90,0,0,0,0,1,0,0,0,1,2,0,8,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,home,7/2/1999
Sergio Herrera,1,ESP,Goalkeeper,31-136,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,home,6/5/1993
16 Players,,,,,990,1,0,0,0,19,6,2,0,12,8,4,35,8,9,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,home,
Vitor Roque,8,BRA,Forward,19-234,45,1,0,0,0,2,2,0,0,1,0,0,1,0,1,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,away,2/27/2005
Ezequiel Avila,9,ARG,Forward / Midfielder,30-256,45,1,0,0,0,4,3,0,0,0,1,2,1,1,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,away,2/5/1994
Cedric Bakambu,11,COD,Forward,33-191,59,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,away,4/11/1991
Abde Ezzalzouli,10,MAR,Forward / Midfielder,22-307,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Seville, Spain",summary,away,12/16/2001
Pablo Fornals,18,ESP,Left Midfielder,28-240,89,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Vigo, Spain",summary,away,2/21/1996
Ricardo Rodriguez,12,SUI,Defender / Midfielder,32-055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Vigo, Spain",summary,away,8/24/1992
Sergi Altimira,16,ESP,Central Midfielder,23-055,67,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Vigo, Spain",summary,away,8/25/2001
Iker Losada,19,ESP,Midfielder,23-079,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Vigo, Spain",summary,away,8/1/2001
Johnny Cardoso,4,USA,Central Midfielder,23-029,90,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Vigo, Spain",summary,away,9/20/2001
Aitor Ruibal,24,ESP,Right Midfielder,28-211,67,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Vigo, Spain",summary,away,3/21/1996
Mateo Flores,46,ESP,Midfielder,20-195,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Vigo, Spain",summary,away,4/6/2004
Romain Perraud,15,FRA,Left Back,27-027,90,0,0,0,0,0,0,0,0,1,1,1,6,2,2,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Vigo, Spain",summary,away,9/22/1997
Diego Llorente,3,ESP,Centre-Back,31-064,90,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Vigo, Spain",summary,away,8/16/1993
Marc Bartra,5,ESP,Centre-Back,33-278,87,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Vigo, Spain",summary,away,1/15/1991
Natan,6,BRA,Defender,23-256,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Vigo, Spain",summary,away,2/5/2001
Hector Bellerin,2,ESP,Right Back,29-214,90,0,0,0,0,1,1,0,0,0,0,0,2,1,4,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Vigo, Spain",summary,away,3/19/1995
Rui Silva,1,POR,Goalkeeper,30-255,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Vigo, Spain",summary,away,2/6/1994
17 Players,,,,,989,2,1,0,0,11,7,1,1,8,12,4,15,7,12,0,,,"Saturday October 19, 2024",Osasuna,Real Betis,2-Jan,"Vigo, Spain",summary,away,
Arnaut Danjuma,11,NED,Forward,27-262,90,0,0,0,0,3,2,0,0,0,0,0,8,0,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,home,1/30/1997
Bojan Miovski,19,MKD,Forward,25-117,58,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,home,6/24/1999
Cristhian Stuani,7,URU,Forward / Midfielder,38-007,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,home,10/12/1986
Miguel Gutierrez,3,ESP,Left Winger,23-084,90,0,0,0,0,1,0,0,0,1,2,0,4,0,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,home,7/27/2001
Yangel Herrera,21,VEN,Attacking Midfielder,26-279,90,0,0,0,0,1,0,1,0,4,4,0,2,0,1,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,home,1/14/1998
Donny van de Beek,6,NED,Attacking Midfielder,27-184,58,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,home,4/18/1997
Gabriel Osei Misehouy,27,NED,Midfielder,19-093,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,home,7/18/2005
Arnau Martinez,4,ESP,Right Winger,21-177,90,0,0,0,0,1,0,1,0,1,1,0,5,0,1,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,home,4/25/2003
Ivan Martin,23,ESP,Defensive Midfielder,25-248,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,home,2/13/1999
David Lopez,5,ESP,Centre-Back,35-010,90,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,home,10/9/1989
Alejandro Frances,16,ESP,Centre-Back,22-079,71,0,0,0,0,0,0,0,0,1,1,1,4,5,1,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,home,8/1/2002
Kim Minsu,29,KOR,Forward,18-274,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,home,1/18/2006
Ladislav Krejci,18,CZE,Centre-Back,25-182,90,0,0,0,0,1,1,0,0,0,0,0,2,3,2,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,home,4/20/1999
Paulo Gazzaniga,13,ARG,Goalkeeper,32-291,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,home,1/1/1992
14 Players,,,,,990,0,0,0,0,8,3,2,0,10,11,1,25,9,5,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,home,
Orri Steinn Oskarsson,9,ISL,Forward,20-051,64,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,away,8/28/2004
Takefusa Kubo,14,JPN,Forward / Midfielder,23-137,26,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,away,6/4/2001
Ander Barrenetxea,7,ESP,Left Winger,22-297,58,0,1,0,0,1,0,0,0,0,0,0,5,1,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,away,12/27/2001
Javi Lopez,12,ESP,Defender,22-208,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,away,3/25/2002
Brais Mendez,23,ESP,Attacking Midfielder,27-286,79,0,0,0,0,1,1,1,0,3,3,0,1,1,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Vigo, Spain",summary,away,1/6/1997
Benat Turrientes,22,ESP,Midfielder,22-262,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Las Palmas, Spain",summary,away,1/30/2002
Luka Sucic,24,CRO,Attacking Midfielder,22-041,90,0,0,0,0,3,0,0,0,1,2,0,0,2,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Las Palmas, Spain",summary,away,9/8/2002
Mikel Oyarzabal,10,ESP,Right Winger,27-181,79,1,0,0,0,4,3,0,0,0,1,0,0,2,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Las Palmas, Spain",summary,away,4/21/1997
Sheraldo Becker,11,SUR,Forward / Midfielder,29-253,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Las Palmas, Spain",summary,away,2/8/1995
Martin Zubimendi,4,ESP,Defensive Midfielder,25-260,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Las Palmas, Spain",summary,away,2/1/1999
Sergio Gomez,17,ESP,Left Back,24-045,90,0,0,0,0,1,0,0,0,2,1,0,6,2,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Las Palmas, Spain",summary,away,9/3/2000
Nayef Aguerd,21,MAR,Centre-Back,28-203,90,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Las Palmas, Spain",summary,away,3/29/1996
Igor Zubeldia,5,ESP,Centre-Back,27-203,90,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Las Palmas, Spain",summary,away,3/30/1997
Jon Aramburu,27,VEN,Right Back,22-088,90,0,0,0,0,0,0,0,0,1,0,1,2,1,2,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Las Palmas, Spain",summary,away,7/23/2002
Alex Remiro,1,ESP,Goalkeeper,29-209,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Las Palmas, Spain",summary,away,3/24/1995
15 Players,,,,,990,1,1,0,0,14,4,1,0,12,10,1,14,11,4,0,,,"Saturday October 19, 2024",Girona,Real Sociedad,0-1,"Las Palmas, Spain",summary,away,
Borja Iglesias,7,ESP,Forward,31-276,77,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,,,"Saturday October 19, 2024",Celta Vigo,Real Madrid,2-Jan,"Las Palmas, Spain",summary,home,1/16/1993
Anastasios Douvikas,9,GRE,Forward,25-078,13,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,,,"Saturday October 19, 2024",Celta Vigo,Real Madrid,2-Jan,"Las Palmas, Spain",summary,home,8/2/1999
Williot Swedberg,19,SWE,Forward,20-261,71,1,0,0,0,2,2,0,0,2,2,1,0,1,1,0,,,"Saturday October 19, 2024",Celta Vigo,Real Madrid,2-Jan,"Las Palmas, Spain",summary,home,1/31/2004
Alfon,12,ESP,Forward,25-168,19,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,,,"Saturday October 19, 2024",Celta Vigo,Real Madrid,2-Jan,"Las Palmas, Spain",summary,home,5/4/1999
Jonathan Bamba,17,CIV,Forward,28-207,77,0,0,0,0,2,2,0,0,1,2,0,4,1,0,0,,,"Saturday October 19, 2024",Celta Vigo,Real Madrid,2-Jan,"Las Palmas, Spain",summary,home,3/25/1996
Pablo Duran,18,ESP,Forward,23-147,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,"Saturday October 19, 2024",Celta Vigo,Real Madrid,2-Jan,"Las Palmas, Spain",summary,home,5/25/2001
Hugo Alvarez,30,ESP,Left Midfielder,21-109,90,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,,,"Saturday October 19, 2024",Celta Vigo,Real Madrid,2-Jan,"Las Palmas, Spain",summary,home,7/2/2003
Hugo Sotelo,33,ESP,Central Midfielder,20-305,90,0,0,0,0,1,0,1,0,3,0,0,5,1,1,0,,,"Saturday October 19, 2024",Celta Vigo,Real Madrid,2-Jan,"Las Palmas, Spain",summary,home,12/18/2003
Fran Beltran,8,ESP,Central Midfielder,25-259,86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,"Saturday October 19, 2024",Celta Vigo,Real Madrid,2-Jan,"Las Palmas, Spain",summary,home,2/2/1999
Damian Rodriguez,25,ESP,Midfielder,21-216,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,"Saturday October 19, 2024",Celta Vigo,Real Madrid,2-Jan,"Las Palmas, Spain",summary,home,3/17/2003
Oscar Mingueza,3,ESP,Right Midfielder,25-159,90,0,1,0,0,1,0,0,0,2,1,0,5,1,1,0,,,"Saturday October 19, 2024",Celta Vigo,Real Madrid,2-Jan,"Las Palmas, Spain",summary,home,5/13/1999
Marcos Alonso,20,ESP,Centre-Back,33-296,90,0,0,0,0,2,0,1,0,3,1,0,0,1,0,0,,,"Saturday October 19, 2024",Celta Vigo,Real Madrid,2-Jan,"Las Palmas, Spain",summary,home,12/28/1990
Carl Starfelt,2,SWE,Centre-Back,29-140,90,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,,,"Saturday October 19, 2024",Celta Vigo,Real Madrid,2-Jan,"Las Palmas, Spain",summary,home,6/1/1995
Javier Manquillo,22,ESP,Centre-Back,30-167,71,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,"Saturday October 19, 2024",Celta Vigo,Real Madrid,2-Jan,"Las Palmas, Spain",summary,home,5/5/1994
Javi Rodriguez,32,ESP,Defender,21-115,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,"Saturday October 19, 2024",Celta Vigo,Real Madrid,2-Jan,"Las Palmas, Spain",summary,home,6/26/2003
Vicente Guaita,13,ESP,Goalkeeper,37-283,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Saturday October 19, 2024",Celta Vigo,Real Madrid,2-Jan,"Las Palmas, Spain",summary,home,1/10/1987
